team,elo_rating
Afghanistan,1270.6
Cook Islands,1266.0
India,1259.1
Bonaire,1251.8
Eritrea,1249.3
Mauritius,1248.4
Dominica,1247.4
São Tomé and Príncipe,1240.1
Barbados,1218.5
Antigua and Barbuda,1208.0
Myanmar,1207.1
Bangladesh,1192.0
Alderney,1184.5
Tonga,1180.8
Turks and Caicos Islands,1179.1
Cayman Islands,1175.8
Nepal,1165.0
Somalia,1149.3
Djibouti,1146.5
British Virgin Islands,1142.6
Andorra,1140.7
Northern Mariana Islands,1135.8
Gibraltar,1134.3
Taiwan,1123.2
Cambodia,1121.8
American Samoa,1117.5
United States Virgin Islands,1112.1
Bahamas,1108.6
Sri Lanka,1107.6
Pakistan,1107.5
Maldives,1107.0
Guam,1090.2
Mongolia,1087.4
Seychelles,1081.4
Anguilla,1059.4
Liechtenstein,1055.7
Laos,1051.6
Timor-Leste,1029.5
Brunei,1026.3
Bhutan,980.7
Macau,962.1
San Marino,938.7
